,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,mahalanobis,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
280,2,parent,40,female,2,educational/education,educational/education,educational/education,623.5118106488626,3,post-doc,34,male,3
281,2,parent,40,female,2,educational/education,educational/education,program,739.3988815164518,0,enrollee,18,female,1
282,2,parent,40,female,2,educational/education,educational/education,program,661.6486178372146,1,graduate,25,male,2
283,2,parent,40,female,2,educational/education,educational/education,program,649.0876540692782,2,parent,40,female,2
284,2,parent,40,female,2,educational/education,educational/education,program,601.8621074626996,3,post-doc,34,male,3
285,3,post-doc,34,male,3,educational/education,educational/education,center,741.4460938866761,0,enrollee,18,female,1
286,3,post-doc,34,male,3,educational/education,educational/education,center,772.1293863849298,1,graduate,25,male,2
287,3,post-doc,34,male,3,educational/education,educational/education,center,633.9638510273674,2,parent,40,female,2
288,3,post-doc,34,male,3,educational/education,educational/education,center,592.3040150117088,3,post-doc,34,male,3
289,3,post-doc,34,male,3,educational/education,educational/education,university,596.3192594132523,0,enrollee,18,female,1
290,3,post-doc,34,male,3,educational/education,educational/education,university,660.0901585655179,1,graduate,25,male,2
291,3,post-doc,34,male,3,educational/education,educational/education,university,794.9100286091481,2,parent,40,female,2
292,3,post-doc,34,male,3,educational/education,educational/education,university,653.4913156558587,3,post-doc,34,male,3
